# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0223.fits 59311.34361370497185185185 59311.34368827037629629629
FRB20201124A_tracking-M01_0224.fits 59311.34368827037629629629 59311.34376283578074074074
FRB20201124A_tracking-M01_0225.fits 59311.34376283578074074074 59311.34383740118518518518
FRB20201124A_tracking-M01_0226.fits 59311.34383740118518518518 59311.34391196658962962962
FRB20201124A_tracking-M01_0227.fits 59311.34391196658962962962 59311.34398653199407407407
FRB20201124A_tracking-M01_0228.fits 59311.34398653199407407407 59311.34406109739851851851
FRB20201124A_tracking-M01_0229.fits 59311.34406109739851851851 59311.34413566280296296296
FRB20201124A_tracking-M01_0230.fits 59311.34413566280296296296 59311.34421022820740740740
FRB20201124A_tracking-M01_0231.fits 59311.34421022820740740740 59311.34428479361185185185
FRB20201124A_tracking-M01_0232.fits 59311.34428479361185185185 59311.34435935901629629629
FRB20201124A_tracking-M01_0233.fits 59311.34435935901629629629 59311.34443392442074074074
FRB20201124A_tracking-M01_0234.fits 59311.34443392442074074074 59311.34450848982518518518
FRB20201124A_tracking-M01_0235.fits 59311.34450848982518518518 59311.34458305522962962962
FRB20201124A_tracking-M01_0236.fits 59311.34458305522962962962 59311.34465762063407407407
FRB20201124A_tracking-M01_0237.fits 59311.34465762063407407407 59311.34473218603851851851
FRB20201124A_tracking-M01_0238.fits 59311.34473218603851851851 59311.34480675144296296296
FRB20201124A_tracking-M01_0239.fits 59311.34480675144296296296 59311.34488131684740740740
FRB20201124A_tracking-M01_0240.fits 59311.34488131684740740740 59311.34495588225185185185
FRB20201124A_tracking-M01_0241.fits 59311.34495588225185185185 59311.34503044765629629629
FRB20201124A_tracking-M01_0242.fits 59311.34503044765629629629 59311.34510501306074074074
FRB20201124A_tracking-M01_0243.fits 59311.34510501306074074074 59311.34517957846518518518
FRB20201124A_tracking-M01_0244.fits 59311.34517957846518518518 59311.34525414386962962962
FRB20201124A_tracking-M01_0245.fits 59311.34525414386962962962 59311.34532870927407407407
FRB20201124A_tracking-M01_0246.fits 59311.34532870927407407407 59311.34540327467851851851
FRB20201124A_tracking-M01_0247.fits 59311.34540327467851851851 59311.34547784008296296296
FRB20201124A_tracking-M01_0248.fits 59311.34547784008296296296 59311.34555240548740740740
FRB20201124A_tracking-M01_0249.fits 59311.34555240548740740740 59311.34562697089185185185
FRB20201124A_tracking-M01_0250.fits 59311.34562697089185185185 59311.34570153629629629629
FRB20201124A_tracking-M01_0251.fits 59311.34570153629629629629 59311.34577610170074074074
FRB20201124A_tracking-M01_0252.fits 59311.34577610170074074074 59311.34585066710518518518
FRB20201124A_tracking-M01_0253.fits 59311.34585066710518518518 59311.34592523250962962962
FRB20201124A_tracking-M01_0254.fits 59311.34592523250962962962 59311.34599979791407407407
FRB20201124A_tracking-M01_0255.fits 59311.34599979791407407407 59311.34607436331851851851
FRB20201124A_tracking-M01_0256.fits 59311.34607436331851851851 59311.34614892872296296296
FRB20201124A_tracking-M01_0257.fits 59311.34614892872296296296 59311.34622349412740740740
FRB20201124A_tracking-M01_0258.fits 59311.34622349412740740740 59311.34629805953185185185
FRB20201124A_tracking-M01_0259.fits 59311.34629805953185185185 59311.34637262493629629629
FRB20201124A_tracking-M01_0260.fits 59311.34637262493629629629 59311.34644719034074074074
FRB20201124A_tracking-M01_0261.fits 59311.34644719034074074074 59311.34652175574518518518
FRB20201124A_tracking-M01_0262.fits 59311.34652175574518518518 59311.34659632114962962962
FRB20201124A_tracking-M01_0263.fits 59311.34659632114962962962 59311.34667088655407407407
FRB20201124A_tracking-M01_0264.fits 59311.34667088655407407407 59311.34674545195851851851
FRB20201124A_tracking-M01_0265.fits 59311.34674545195851851851 59311.34682001736296296296
FRB20201124A_tracking-M01_0266.fits 59311.34682001736296296296 59311.34689458276740740740
FRB20201124A_tracking-M01_0267.fits 59311.34689458276740740740 59311.34696914817185185185
FRB20201124A_tracking-M01_0268.fits 59311.34696914817185185185 59311.34704371357629629629
FRB20201124A_tracking-M01_0269.fits 59311.34704371357629629629 59311.34711827898074074074
FRB20201124A_tracking-M01_0270.fits 59311.34711827898074074074 59311.34719284438518518518
FRB20201124A_tracking-M01_0271.fits 59311.34719284438518518518 59311.34726740978962962962
FRB20201124A_tracking-M01_0272.fits 59311.34726740978962962962 59311.34734197519407407407
FRB20201124A_tracking-M01_0273.fits 59311.34734197519407407407 59311.34741654059851851851
FRB20201124A_tracking-M01_0274.fits 59311.34741654059851851851 59311.34749110600296296296
FRB20201124A_tracking-M01_0275.fits 59311.34749110600296296296 59311.34756567140740740740
FRB20201124A_tracking-M01_0276.fits 59311.34756567140740740740 59311.34764023681185185185
FRB20201124A_tracking-M01_0277.fits 59311.34764023681185185185 59311.34771480221629629629
FRB20201124A_tracking-M01_0278.fits 59311.34771480221629629629 59311.34778936762074074074
FRB20201124A_tracking-M01_0279.fits 59311.34778936762074074074 59311.34786393302518518518
FRB20201124A_tracking-M01_0280.fits 59311.34786393302518518518 59311.34793849842962962962
FRB20201124A_tracking-M01_0281.fits 59311.34793849842962962962 59311.34801306383407407407
FRB20201124A_tracking-M01_0282.fits 59311.34801306383407407407 59311.34808762923851851851
FRB20201124A_tracking-M01_0283.fits 59311.34808762923851851851 59311.34816219464296296296
FRB20201124A_tracking-M01_0284.fits 59311.34816219464296296296 59311.34823676004740740740
FRB20201124A_tracking-M01_0285.fits 59311.34823676004740740740 59311.34831132545185185185
FRB20201124A_tracking-M01_0286.fits 59311.34831132545185185185 59311.34838589085629629629
FRB20201124A_tracking-M01_0287.fits 59311.34838589085629629629 59311.34846045626074074074
FRB20201124A_tracking-M01_0288.fits 59311.34846045626074074074 59311.34853502166518518518
FRB20201124A_tracking-M01_0289.fits 59311.34853502166518518518 59311.34860958706962962962
FRB20201124A_tracking-M01_0290.fits 59311.34860958706962962962 59311.34868415247407407407
FRB20201124A_tracking-M01_0291.fits 59311.34868415247407407407 59311.34875871787851851851
FRB20201124A_tracking-M01_0292.fits 59311.34875871787851851851 59311.34883328328296296296
FRB20201124A_tracking-M01_0293.fits 59311.34883328328296296296 59311.34890784868740740740
FRB20201124A_tracking-M01_0294.fits 59311.34890784868740740740 59311.34898241409185185185
FRB20201124A_tracking-M01_0295.fits 59311.34898241409185185185 59311.34905697949629629629
FRB20201124A_tracking-M01_0296.fits 59311.34905697949629629629 59311.34913154490074074074
FRB20201124A_tracking-M01_0297.fits 59311.34913154490074074074 59311.34920611030518518518
FRB20201124A_tracking-M01_0298.fits 59311.34920611030518518518 59311.34928067570962962962
FRB20201124A_tracking-M01_0299.fits 59311.34928067570962962962 59311.34935524111407407407
FRB20201124A_tracking-M01_0300.fits 59311.34935524111407407407 59311.34942980651851851851
